x,y,image,r,g,b,clear
162,-2,1,128,128,128,0
164,-2,1,128,128,128,0
166,-2,1,128,128,128,0
168,-2,1,128,128,128,0
170,-2,1,128,128,128,0
172,-2,1,128,128,128,0
174,-2,1,128,128,128,0
176,-2,1,128,128,128,0
178,-2,1,128,128,128,0
180,-2,1,128,128,128,0
182,-2,1,128,128,128,0
184,-2,1,128,128,128,0
186,-2,1,128,128,128,0
188,-2,1,128,128,128,0
190,-2,1,128,128,128,0
192,-2,1,128,128,128,0
194,-2,1,128,128,128,0
196,-2,1,128,128,128,0
198,-2,1,128,128,128,0
0,0,1,128,128,128,0
2,0,1,128,128,128,0
4,0,1,128,128,128,0
6,0,1,128,128,128,0
8,0,1,128,128,128,0
10,0,1,128,128,128,0
12,0,1,128,128,128,0
14,0,1,128,128,128,0
16,0,1,128,128,128,0
18,0,1,128,128,128,0
20,0,1,128,128,128,0
22,0,1,128,128,128,0
24,0,1,128,128,128,0
26,0,1,128,128,128,0
28,0,1,128,128,128,0
30,0,1,128,128,128,0
32,0,1,128,128,128,0
34,0,1,128,128,128,0
36,0,1,128,128,128,0
38,0,1,128,128,128,0
40,0,1,128,128,128,0
42,0,1,128,128,128,0
44,0,1,128,128,128,0
46,0,1,128,128,128,0
48,0,1,128,128,128,0
50,0,1,128,128,128,0
52,0,1,128,128,128,0
54,0,1,128,128,128,0
56,0,1,128,128,128,0
58,0,1,128,128,128,0
60,0,1,128,128,128,0
62,0,1,128,128,128,0
64,0,1,128,128,128,0
66,0,1,128,128,128,0
68,0,1,128,128,128,0
70,0,1,128,128,128,0
72,0,1,128,128,128,0
74,0,1,128,128,128,0
76,0,1,128,128,128,0
78,0,1,128,128,128,0
80,0,1,128,128,128,0
82,0,1,128,128,128,0
84,0,1,128,128,128,0
86,0,1,128,128,128,0
88,0,1,128,128,128,0
90,0,1,128,128,128,0
92,0,1,128,128,128,0
94,0,1,128,128,128,0
96,0,1,128,128,128,0
98,0,1,128,128,128,0
100,0,1,128,128,128,0
102,0,1,128,128,128,0
104,0,1,128,128,128,0
106,0,1,128,128,128,0
108,0,1,128,128,128,0
110,0,1,128,128,128,0
112,0,1,128,128,128,0
114,0,1,128,128,128,0
116,0,1,128,128,128,0
118,0,1,128,128,128,0
120,0,1,128,128,128,0
122,0,1,128,128,128,0
124,0,1,128,128,128,0
126,0,1,128,128,128,0
128,0,1,128,128,128,0
130,0,1,128,128,128,0
132,0,1,128,128,128,0
134,0,1,128,128,128,0
136,0,1,128,128,128,0
138,0,1,128,128,128,0
140,0,1,128,128,128,0
142,0,1,128,128,128,0
144,0,1,128,128,128,0
146,0,1,128,128,128,0
148,0,1,128,128,128,0
150,0,1,128,128,128,0
152,0,1,128,128,128,0
154,0,1,128,128,128,0
156,0,1,128,128,128,0
158,0,1,128,128,128,0
160,0,1,128,128,128,0
162,0,1,128,128,128,0
164,0,1,128,128,128,0
166,0,1,128,128,128,0
168,0,1,128,128,128,0
170,0,1,128,128,128,0
172,0,1,128,128,128,0
174,0,1,128,128,128,0
176,0,1,128,128,128,0
178,0,1,128,128,128,0
180,0,1,128,128,128,0
182,0,1,128,128,128,0
184,0,1,128,128,128,0
186,0,1,128,128,128,0
188,0,1,128,128,128,0
190,0,1,128,128,128,0
192,0,1,128,128,128,0
194,0,1,128,128,128,0
196,0,1,128,128,128,0
198,0,1,128,128,128,0
0,2,1,128,128,128,0
2,2,1,128,128,128,0
4,2,1,128,128,128,0
6,2,1,128,128,128,0
8,2,1,128,128,128,0
10,2,1,128,128,128,0
12,2,1,128,128,128,0
14,2,1,128,128,128,0
16,2,1,128,128,128,0
18,2,1,128,128,128,0
20,2,1,128,128,128,0
22,2,1,128,128,128,0
24,2,1,128,128,128,0
26,2,1,128,128,128,0
28,2,1,128,128,128,0
30,2,1,128,128,128,0
32,2,1,128,128,128,0
34,2,1,128,128,128,0
36,2,1,128,128,128,0
38,2,1,128,128,128,0
40,2,1,128,128,128,0
42,2,1,128,128,128,0
44,2,1,128,128,128,0
46,2,1,128,128,128,0
48,2,1,128,128,128,0
50,2,1,128,128,128,0
52,2,1,128,128,128,0
54,2,1,128,128,128,0
56,2,1,128,128,128,0
58,2,1,128,128,128,0
60,2,1,128,128,128,0
62,2,1,128,128,128,0
64,2,1,128,128,128,0
66,2,1,128,128,128,0
68,2,1,128,128,128,0
70,2,1,128,128,128,0
72,2,1,128,128,128,0
74,2,1,128,128,128,0
76,2,1,128,128,128,0
78,2,1,128,128,128,0
80,2,1,128,128,128,0
82,2,1,128,128,128,0
84,2,1,128,128,128,0
86,2,1,128,128,128,0
88,2,1,128,128,128,0
90,2,1,128,128,128,0
92,2,1,128,128,128,0
94,2,1,128,128,128,0
96,2,1,128,128,128,0
98,2,1,128,128,128,0
100,2,1,128,128,128,0
102,2,1,128,128,128,0
104,2,1,128,128,128,0
106,2,1,128,128,128,0
108,2,1,128,128,128,0
110,2,1,128,128,128,0
112,2,1,128,128,128,0
114,2,1,128,128,128,0
116,2,1,128,128,128,0
118,2,1,128,128,128,0
120,2,1,128,128,128,0
122,2,1,128,128,128,0
124,2,1,128,128,128,0
126,2,1,128,128,128,0
128,2,1,128,128,128,0
130,2,1,128,128,128,0
132,2,1,128,128,128,0
134,2,1,128,128,128,0
136,2,1,128,128,128,0
138,2,1,128,128,128,0
140,2,1,128,128,128,0
142,2,1,128,128,128,0
144,2,1,128,128,128,0
146,2,1,128,128,128,0
148,2,1,128,128,128,0
150,2,1,128,128,128,0
152,2,1,128,128,128,0
154,2,1,128,128,128,0
156,2,1,128,128,128,0
158,2,1,128,128,128,0
160,2,1,128,128,128,0
162,2,1,128,128,128,0
164,2,1,128,128,128,0
166,2,1,128,128,128,0
168,2,1,128,128,128,0
170,2,1,128,128,128,0
172,2,1,128,128,128,0
174,2,1,128,128,128,0
176,2,1,128,128,128,0
178,2,1,128,128,128,0
180,2,1,128,128,128,0
182,2,1,128,128,128,0
184,2,1,128,128,128,0
186,2,1,128,128,128,0
188,2,1,128,128,128,0
190,2,1,128,128,128,0
192,2,1,128,128,128,0
194,2,1,128,128,128,0
196,2,1,128,128,128,0
198,2,1,128,128,128,0
0,4,1,128,128,128,0
2,4,1,128,128,128,0
4,4,1,128,128,128,0
6,4,1,128,128,128,0
8,4,1,128,128,128,0
10,4,1,128,128,128,0
12,4,1,128,128,128,0
14,4,1,128,128,128,0
16,4,1,128,128,128,0
18,4,1,128,128,128,0
20,4,1,128,128,128,0
22,4,1,128,128,128,0
24,4,1,128,128,128,0
26,4,1,128,128,128,0
28,4,1,128,128,128,0
30,4,1,128,128,128,0
32,4,1,128,128,128,0
34,4,1,128,128,128,0
36,4,1,128,128,128,0
38,4,1,128,128,128,0
40,4,1,128,128,128,0
42,4,1,128,128,128,0
44,4,1,128,128,128,0
46,4,1,128,128,128,0
48,4,1,128,128,128,0
50,4,1,128,128,128,0
52,4,1,128,128,128,0
54,4,1,128,128,128,0
56,4,1,128,128,128,0
58,4,1,128,128,128,0
60,4,1,128,128,128,0
62,4,1,128,128,128,0
64,4,1,128,128,128,0
66,4,1,128,128,128,0
68,4,1,128,128,128,0
70,4,1,128,128,128,0
72,4,1,128,128,128,0
74,4,1,128,128,128,0
76,4,1,128,128,128,0
78,4,1,128,128,128,0
80,4,1,128,128,128,0
82,4,1,128,128,128,0
84,4,1,128,128,128,0
86,4,1,128,128,128,0
88,4,1,128,128,128,0
90,4,1,128,128,128,0
92,4,1,128,128,128,0
94,4,1,128,128,128,0
96,4,1,128,128,128,0
98,4,1,128,128,128,0
100,4,1,128,128,128,0
102,4,1,128,128,128,0
104,4,1,128,128,128,0
106,4,1,128,128,128,0
108,4,1,128,128,128,0
110,4,1,128,128,128,0
112,4,1,128,128,128,0
114,4,1,128,128,128,0
116,4,1,128,128,128,0
118,4,1,128,128,128,0
120,4,1,128,128,128,0
122,4,1,128,128,128,0
124,4,1,128,128,128,0
126,4,1,128,128,128,0
128,4,1,128,128,128,0
130,4,1,128,128,128,0
132,4,1,128,128,128,0
134,4,1,128,128,128,0
136,4,1,128,128,128,0
138,4,1,128,128,128,0
140,4,1,128,128,128,0
142,4,1,128,128,128,0
144,4,1,128,128,128,0
146,4,1,128,128,128,0
148,4,1,128,128,128,0
150,4,1,128,128,128,0
152,4,1,128,128,128,0
154,4,1,128,128,128,0
156,4,1,128,128,128,0
158,4,1,128,128,128,0
160,4,1,128,128,128,0
162,4,1,128,128,128,0
164,4,1,128,128,128,0
166,4,1,128,128,128,0
168,4,1,128,128,128,0
170,4,1,128,128,128,0
172,4,1,128,128,128,0
174,4,1,128,128,128,0
176,4,1,128,128,128,0
178,4,1,128,128,128,0
180,4,1,128,128,128,0
182,4,1,128,128,128,0
184,4,1,128,128,128,0
186,4,1,128,128,128,0
188,4,1,128,128,128,0
190,4,1,128,128,128,0
192,4,1,128,128,128,0
194,4,1,128,128,128,0
196,4,1,128,128,128,0
198,4,1,128,128,128,0
0,6,1,128,128,128,0
2,6,1,128,128,128,0
4,6,1,128,128,128,0
6,6,1,128,128,128,0
8,6,1,128,128,128,0
10,6,1,128,128,128,0
12,6,1,128,128,128,0
14,6,1,128,128,128,0
16,6,1,128,128,128,0
18,6,1,128,128,128,0
20,6,1,128,128,128,0
22,6,1,128,128,128,0
24,6,1,128,128,128,0
26,6,1,128,128,128,0
28,6,1,128,128,128,0
30,6,1,128,128,128,0
32,6,1,128,128,128,0
34,6,1,128,128,128,0
36,6,1,128,128,128,0
38,6,1,128,128,128,0
40,6,1,128,128,128,0
42,6,1,128,128,128,0
44,6,1,128,128,128,0
46,6,1,128,128,128,0
48,6,1,128,128,128,0
50,6,1,128,128,128,0
52,6,1,128,128,128,0
54,6,1,128,128,128,0
56,6,1,128,128,128,0
58,6,1,128,128,128,0
60,6,1,128,128,128,0
62,6,1,128,128,128,0
64,6,1,128,128,128,0
66,6,1,128,128,128,0
68,6,1,128,128,128,0
70,6,1,128,128,128,0
72,6,1,128,128,128,0
74,6,1,128,128,128,0
76,6,1,128,128,128,0
78,6,1,128,128,128,0
80,6,1,128,128,128,0
82,6,1,128,128,128,0
84,6,1,128,128,128,0
86,6,1,128,128,128,0
88,6,1,128,128,128,0
90,6,1,128,128,128,0
92,6,1,128,128,128,0
94,6,1,128,128,128,0
96,6,1,128,128,128,0
98,6,1,128,128,128,0
100,6,1,128,128,128,0
102,6,1,128,128,128,0
104,6,1,128,128,128,0
106,6,1,128,128,128,0
108,6,1,128,128,128,0
110,6,1,128,128,128,0
112,6,1,128,128,128,0
114,6,1,128,128,128,0
116,6,1,128,128,128,0
118,6,1,128,128,128,0
120,6,1,128,128,128,0
122,6,1,128,128,128,0
124,6,1,128,128,128,0
126,6,1,128,128,128,0
128,6,1,128,128,128,0
130,6,1,128,128,128,0
132,6,1,128,128,128,0
134,6,1,128,128,128,0
136,6,1,128,128,128,0
138,6,1,128,128,128,0
140,6,1,128,128,128,0
142,6,1,128,128,128,0
144,6,1,128,128,128,0
146,6,1,128,128,128,0
148,6,1,128,128,128,0
150,6,1,128,128,128,0
152,6,1,128,128,128,0
154,6,1,128,128,128,0
156,6,1,128,128,128,0
158,6,1,128,128,128,0
160,6,1,128,128,128,0
162,6,1,128,128,128,0
164,6,1,128,128,128,0
166,6,1,128,128,128,0
168,6,1,128,128,128,0
170,6,1,128,128,128,0
172,6,1,128,128,128,0
174,6,1,128,128,128,0
176,6,1,128,128,128,0
178,6,1,128,128,128,0
180,6,1,128,128,128,0
182,6,1,128,128,128,0
184,6,1,128,128,128,0
186,6,1,128,128,128,0
188,6,1,128,128,128,0
190,6,1,128,128,128,0
192,6,1,128,128,128,0
194,6,1,128,128,128,0
196,6,1,128,128,128,0
198,6,1,128,128,128,0
0,8,1,128,128,128,0
2,8,1,128,128,128,0
4,8,1,128,128,128,0
6,8,1,128,128,128,0
8,8,1,128,128,128,0
10,8,1,128,128,128,0
12,8,1,128,128,128,0
14,8,1,128,128,128,0
16,8,1,128,128,128,0
18,8,1,128,128,128,0
20,8,1,128,128,128,0
22,8,1,128,128,128,0
24,8,1,128,128,128,0
26,8,1,128,128,128,0
28,8,1,128,128,128,0
30,8,1,128,128,128,0
32,8,1,128,128,128,0
34,8,1,128,128,128,0
36,8,1,128,128,128,0
38,8,1,128,128,128,0
40,8,1,128,128,128,0
42,8,1,128,128,128,0
44,8,1,128,128,128,0
46,8,1,128,128,128,0
48,8,1,128,128,128,0
50,8,1,128,128,128,0
52,8,1,128,128,128,0
54,8,1,128,128,128,0
56,8,1,128,128,128,0
58,8,1,128,128,128,0
60,8,1,128,128,128,0
62,8,1,128,128,128,0
64,8,1,128,128,128,0
66,8,1,128,128,128,0
68,8,1,128,128,128,0
70,8,1,128,128,128,0
72,8,1,128,128,128,0
74,8,1,128,128,128,0
76,8,1,128,128,128,0
78,8,1,128,128,128,0
80,8,1,128,128,128,0
82,8,1,128,128,128,0
84,8,1,128,128,128,0
86,8,1,128,128,128,0
88,8,1,128,128,128,0
90,8,1,128,128,128,0
92,8,1,128,128,128,0
94,8,1,128,128,128,0
96,8,1,128,128,128,0
98,8,1,128,128,128,0
100,8,1,128,128,128,0
102,8,1,128,128,128,0
104,8,1,128,128,128,0
106,8,1,128,128,128,0
108,8,1,128,128,128,0
110,8,1,128,128,128,0
112,8,1,128,128,128,0
114,8,1,128,128,128,0
116,8,1,128,128,128,0
118,8,1,128,128,128,0
120,8,1,128,128,128,0
122,8,1,128,128,128,0
